#,Bid ranges (gross),Bids,Average bid CPM (gross) (THB),Estimated earnings from bids (THB),Impressions won,Winning bid CPM (gross) (THB),Close CPM (THB),Win %
296,THB 942.13 - THB 945.33,18,944.03,2.03,18,944.03,112.62,100.00%
297,THB 945.33 - THB 948.52,24,946.4,1.54,23,946.32,66.92,95.83%
298,THB 948.52 - THB 951.71,16,949.63,0.94,16,949.63,58.81,100.00%
299,THB 951.71 - THB 954.91,23,953.41,1.57,22,953.36,71.32,95.65%
300,THB 954.91 - THB 958.10,12,956.69,1.41,12,956.69,117.42,100.00%
301,THB 958.10 - THB 961.29,18,959.43,1.09,18,959.43,60.77,100.00%
302,THB 961.29 - THB 964.49,15,962.7,1.78,15,962.7,118.79,100.00%
303,THB 964.49 - THB 967.68,11,966.02,0.79,11,966.02,71.6,100.00%
304,THB 967.68 - THB 970.88,13,969,0.83,13,969,63.87,100.00%
305,THB 970.88 - THB 974.07,10,972.32,0.98,10,972.32,98.39,100.00%
306,THB 974.07 - THB 977.26,7,975.65,0.32,6,975.75,53.23,85.71%
307,THB 977.26 - THB 980.46,10,978.9,0.62,10,978.9,62.24,100.00%
308,THB 980.46 - THB 983.65,15,982.1,1.25,15,982.1,83.01,100.00%
309,THB 983.65 - THB 986.84,19,985.5,1.19,19,985.5,62.88,100.00%
310,THB 986.84 - THB 990.04,15,988.79,1.14,15,988.79,75.71,100.00%
311,THB 990.04 - THB 993.23,12,991.33,0.7,12,991.33,58.55,100.00%
312,THB 993.23 - THB 996.43,11,994.76,1.16,11,994.76,105.57,100.00%
313,THB 996.43 - THB 999.62,15,997.48,0.96,15,997.48,63.87,100.00%
314,"THB 999.62 - THB 1,002.81",9,"1,000.93",0.51,9,"1,000.93",56.82,100.00%
315,"THB 1,002.81 - THB 1,006.01",14,"1,004.40",1.21,14,"1,004.40",86.63,100.00%
316,"THB 1,006.01 - THB 1,009.20",14,"1,007.76",1,14,"1,007.76",71.76,100.00%
317,"THB 1,009.20 - THB 1,012.39",9,"1,010.89",0.69,9,"1,010.89",76.9,100.00%
318,"THB 1,012.39 - THB 1,015.59",9,"1,014.32",0.58,9,"1,014.32",64.29,100.00%
319,"THB 1,015.59 - THB 1,018.78",15,"1,017.42",1.17,15,"1,017.42",78,100.00%
320,"THB 1,018.78 - THB 1,021.97",10,"1,020.24",0.91,10,"1,020.24",91.28,100.00%
321,"THB 1,021.97 - THB 1,025.17",10,"1,023.25",0.64,10,"1,023.25",63.87,100.00%
322,"THB 1,025.17 - THB 1,028.36",16,"1,026.99",1.46,16,"1,026.99",91.05,100.00%
323,"THB 1,028.36 - THB 1,031.56",13,"1,030.23",0.7,13,"1,030.23",54.05,100.00%
324,"THB 1,031.56 - THB 1,034.75",21,"1,033.08",1.44,21,"1,033.08",68.4,100.00%
325,"THB 1,034.75 - THB 1,037.94",12,"1,036.36",1.28,12,"1,036.36",106.58,100.00%
326,"THB 1,037.94 - THB 1,041.14",15,"1,039.14",2,15,"1,039.14",133.36,100.00%
327,"THB 1,041.14 - THB 1,044.33",4,"1,043.32",0.2,4,"1,043.32",50.4,100.00%
328,"THB 1,044.33 - THB 1,047.52",8,"1,046.51",0.52,8,"1,046.51",64.9,100.00%
329,"THB 1,047.52 - THB 1,050.72",13,"1,049.22",0.83,13,"1,049.22",63.68,100.00%
330,"THB 1,050.72 - THB 1,053.91",5,"1,052.15",0.69,5,"1,052.15",138.22,100.00%
331,"THB 1,053.91 - THB 1,057.10",7,"1,055.69",0.81,7,"1,055.69",115.52,100.00%
332,"THB 1,057.10 - THB 1,060.30",9,"1,058.85",0.83,8,"1,058.68",104.18,88.89%
333,"THB 1,060.30 - THB 1,063.49",7,"1,062.04",0.49,7,"1,062.04",69.68,100.00%
334,"THB 1,063.49 - THB 1,066.69",4,"1,065.91",0.67,4,"1,065.91",166.33,100.00%
335,"THB 1,066.69 - THB 1,069.88",3,"1,069.21",0.26,3,"1,069.21",85.68,100.00%
336,"THB 1,069.88 - THB 1,073.07",7,"1,071.59",0.47,7,"1,071.59",66.68,100.00%
337,"THB 1,073.07 - THB 1,076.27",3,"1,074.69",0.35,3,"1,074.69",117.12,100.00%
338,"THB 1,076.27 - THB 1,079.46",11,"1,077.70",0.65,11,"1,077.70",58.83,100.00%
339,"THB 1,079.46 - THB 1,082.65",12,"1,080.95",1.05,12,"1,080.95",87.35,100.00%
340,"THB 1,082.65 - THB 1,085.85",10,"1,084.01",1.02,10,"1,084.01",102.02,100.00%
341,"THB 1,085.85 - THB 1,089.04",19,"1,087.06",1.62,18,"1,087.02",90,94.74%
342,"THB 1,089.04 - THB 1,092.24",15,"1,090.77",1.41,15,"1,090.77",94.02,100.00%
343,"THB 1,092.24 - THB 1,095.43",7,"1,094.28",0.43,7,"1,094.28",61.46,100.00%
344,"THB 1,095.43 - THB 1,098.62",14,"1,096.74",0.83,13,"1,096.82",63.87,92.86%
345,"THB 1,098.62 - THB 1,101.82",9,"1,100.56",0.45,9,"1,100.56",49.68,100.00%
346,"THB 1,101.82 - THB 1,105.01",7,"1,103.08",0.72,7,"1,103.08",102.67,100.00%
347,"THB 1,105.01 - THB 1,108.20",9,"1,106.35",0.45,7,"1,106.05",63.87,77.78%
348,"THB 1,108.20 - THB 1,111.40",13,"1,109.85",1.64,13,"1,109.85",126.04,100.00%
349,"THB 1,111.40 - THB 1,114.59",7,"1,112.82",0.32,6,"1,113.05",53.23,85.71%
350,"THB 1,114.59 - THB 1,117.78",8,"1,116.30",0.69,7,"1,116.23",98.64,87.50%
351,"THB 1,117.78 - THB 1,120.98",8,"1,119.15",1.46,8,"1,119.15",182.83,100.00%
352,"THB 1,120.98 - THB 1,124.17",3,"1,122.87",0.13,3,"1,122.87",42.58,100.00%
353,"THB 1,124.17 - THB 1,127.37",8,"1,125.62",0.51,8,"1,125.62",63.87,100.00%
354,"THB 1,127.37 - THB 1,130.56",7,"1,128.57",0.38,7,"1,128.57",54.75,100.00%
355,"THB 1,130.56 - THB 1,133.75",13,"1,131.74",1.23,13,"1,131.74",94.24,100.00%
356,"THB 1,133.75 - THB 1,136.95",9,"1,135.68",0.8,9,"1,135.68",88.98,100.00%
357,"THB 1,136.95 - THB 1,140.14",8,"1,138.78",0.52,8,"1,138.78",64.98,100.00%
358,"THB 1,140.14 - THB 1,143.33",5,"1,142.16",0.34,5,"1,142.16",68.22,100.00%
