Bid ranges (gross),Bids,Average bid CPM (gross) (THB),Estimated earnings from bids (THB),Impressions won,Winning bid CPM (gross) (THB),Close CPM (THB),Win %
THB 748.30 - THB 751.49,44.00,750.91,4.96,44.00,750.91,112.70,1.00
THB 751.49 - THB 754.67,33.00,754.54,3.72,33.00,754.54,112.60,1.00
THB 754.67 - THB 757.86,37.00,756.72,3.42,36.00,756.70,95.00,0.97
THB 757.86 - THB 761.04,28.00,760.18,2.30,27.00,760.22,85.25,0.96
THB 761.04 - THB 764.22,27.00,763.75,2.34,27.00,763.75,86.52,1.00
THB 764.22 - THB 767.41,23.00,767.27,2.57,22.00,767.17,116.92,0.96
THB 767.41 - THB 770.59,23.00,770.14,1.97,23.00,770.14,85.83,1.00
THB 770.59 - THB 773.78,35.00,772.72,3.71,32.00,772.78,115.83,0.91
THB 773.78 - THB 776.96,16.00,776.31,2.07,16.00,776.31,129.10,1.00
THB 776.96 - THB 780.15,28.00,779.42,3.69,28.00,779.42,131.83,1.00
THB 780.15 - THB 783.33,17.00,782.29,2.95,16.00,782.11,184.16,0.94
THB 783.33 - THB 786.51,19.00,785.81,1.95,17.00,785.77,114.63,0.89
THB 786.51 - THB 789.70,23.00,789.37,1.92,22.00,789.27,87.37,0.96
THB 789.70 - THB 792.88,23.00,791.79,2.40,18.00,792.02,133.57,0.78
THB 792.88 - THB 796.07,23.00,795.27,1.92,21.00,795.25,91.55,0.91
THB 796.07 - THB 799.25,107.00,796.67,14.17,98.00,796.62,144.59,0.92
THB 799.25 - THB 802.44,26.00,801.77,2.64,26.00,801.77,101.48,1.00
THB 802.44 - THB 805.62,18.00,805.29,1.28,17.00,805.33,75.57,0.94
THB 805.62 - THB 808.80,12.00,808.20,1.15,11.00,808.28,104.38,0.92
THB 808.80 - THB 811.99,34.00,811.11,3.62,32.00,811.10,113.01,0.94
THB 811.99 - THB 815.17,20.00,814.48,2.61,18.00,814.53,145.25,0.90
THB 815.17 - THB 818.36,25.00,816.93,2.62,22.00,817.01,119.08,0.88
THB 818.36 - THB 821.54,15.00,820.95,1.21,14.00,820.79,86.17,0.93
THB 821.54 - THB 824.72,13.00,824.68,1.45,10.00,824.31,144.99,0.77
THB 824.72 - THB 827.91,18.00,827.22,2.48,17.00,827.20,145.71,0.94
THB 827.91 - THB 831.09,17.00,830.60,1.83,15.00,830.57,122.00,0.88
