Advertisers,Bid ranges (gross),Bids,Average bid CPM (gross) (THB),Estimated earnings from bids (THB),Impressions won,Winning bid CPM (gross) (THB),Close CPM (THB),Win %
Netflix,THB 687.80 - THB 690.99,1.00,691.10,0.06,1.00,691.10,63.88,1.00
Netflix,THB 690.99 - THB 694.17,2.00,693.57,0.30,2.00,693.57,150.17,1.00
Netflix,THB 694.17 - THB 697.35,5.00,697.66,0.26,5.00,697.66,51.07,1.00
Netflix,THB 697.35 - THB 700.54,4.00,699.99,0.25,4.00,699.99,63.67,1.00
Netflix,THB 700.54 - THB 703.72,5.00,702.95,0.13,5.00,702.95,25.47,1.00
Netflix,THB 703.72 - THB 706.91,8.00,705.69,0.51,8.00,705.69,63.70,1.00
Netflix,THB 706.91 - THB 710.09,6.00,709.55,0.85,6.00,709.55,141.35,1.00
Netflix,THB 710.09 - THB 713.28,2.00,711.66,0.13,2.00,711.66,63.69,1.00
Netflix,THB 713.28 - THB 716.46,5.00,715.57,0.32,5.00,715.57,63.76,1.00
Netflix,THB 716.46 - THB 719.64,2.00,718.24,0.13,2.00,718.24,63.69,1.00
Netflix,THB 719.64 - THB 722.83,1.00,721.63,0.58,1.00,721.63,577.29,1.00
Netflix,THB 722.83 - THB 726.01,4.00,724.22,0.77,4.00,724.22,193.51,1.00
Netflix,THB 726.01 - THB 729.20,1.00,726.36,0.06,1.00,726.36,63.69,1.00
Netflix,THB 729.20 - THB 732.38,5.00,732.30,0.75,5.00,732.30,150.73,1.00
Netflix,THB 732.38 - THB 735.57,1.00,736.29,0.06,1.00,736.29,63.88,1.00
Netflix,THB 735.57 - THB 738.75,2.00,738.23,0.52,2.00,738.23,259.44,1.00
Netflix,THB 741.93 - THB 745.12,7.00,743.91,0.62,7.00,743.91,88.62,1.00
Netflix,THB 745.12 - THB 748.30,1.00,747.95,0.06,1.00,747.95,63.88,1.00
Netflix,THB 748.30 - THB 751.49,1.00,753.13,0.06,1.00,753.13,63.88,1.00
Netflix,THB 751.49 - THB 754.67,2.00,755.44,0.13,2.00,755.44,63.80,1.00
Netflix,THB 754.67 - THB 757.86,9.00,757.07,0.73,9.00,757.07,81.65,1.00
Netflix,THB 757.86 - THB 761.04,3.00,759.83,0.19,3.00,759.83,63.75,1.00
Netflix,THB 761.04 - THB 764.22,3.00,763.52,0.19,3.00,763.52,63.76,1.00
Netflix,THB 764.22 - THB 767.41,4.00,768.01,0.40,4.00,768.01,98.96,1.00
Netflix,THB 767.41 - THB 770.59,5.00,771.28,0.48,5.00,771.28,96.02,1.00
Netflix,THB 770.59 - THB 773.78,2.00,773.24,0.13,2.00,773.24,63.78,1.00
Netflix,THB 773.78 - THB 776.96,1.00,776.50,0.06,1.00,776.50,63.88,1.00
Netflix,THB 776.96 - THB 780.15,2.00,778.80,0.13,2.00,778.80,63.78,1.00
Netflix,THB 780.15 - THB 783.33,2.00,781.50,0.38,2.00,781.50,188.26,1.00
Netflix,THB 786.51 - THB 789.70,4.00,788.86,0.26,4.00,788.86,63.78,1.00
Netflix,THB 789.70 - THB 792.88,1.00,792.21,0.06,1.00,792.21,63.72,1.00
Netflix,THB 792.88 - THB 796.07,6.00,796.17,0.38,6.00,796.17,63.79,1.00
Netflix,THB 796.07 - THB 799.25,2.00,799.18,0.13,2.00,799.18,63.78,1.00
Netflix,THB 799.25 - THB 802.44,2.00,801.35,0.13,2.00,801.35,63.79,1.00
Netflix,THB 802.44 - THB 805.62,3.00,805.02,0.19,3.00,805.02,63.75,1.00
Netflix,THB 805.62 - THB 808.80,2.00,808.15,0.13,2.00,808.15,63.78,1.00
Netflix,THB 808.80 - THB 811.99,3.00,811.94,0.13,3.00,811.94,42.52,1.00
Netflix,THB 815.17 - THB 818.36,2.00,816.97,0.13,2.00,816.97,63.75,1.00
Netflix,THB 818.36 - THB 821.54,1.00,819.85,0.06,1.00,819.85,63.69,1.00
Netflix,THB 821.54 - THB 824.72,2.00,824.11,0.26,2.00,824.11,129.14,1.00
Netflix,THB 824.72 - THB 827.91,2.00,825.70,0.29,2.00,825.70,142.53,1.00
Netflix,THB 827.91 - THB 831.09,1.00,830.57,0.06,1.00,830.57,63.69,1.00
Netflix,THB 834.28 - THB 837.46,3.00,836.85,0.36,3.00,836.85,121.30,1.00
Netflix,THB 837.46 - THB 840.65,3.00,841.39,0.19,3.00,841.39,63.81,1.00
Netflix,THB 843.83 - THB 847.01,1.00,844.24,0.06,1.00,844.24,63.69,1.00
Netflix,THB 847.01 - THB 850.20,2.00,852.64,0.75,2.00,852.64,372.97,1.00
Netflix,THB 853.38 - THB 856.57,1.00,853.45,0.06,1.00,853.45,63.69,1.00
Netflix,THB 856.57 - THB 859.75,2.00,856.88,0.13,2.00,856.88,63.69,1.00
Netflix,THB 859.75 - THB 862.94,4.00,861.56,0.26,4.00,861.56,63.76,1.00
Netflix,THB 862.94 - THB 866.12,3.00,863.71,0.19,3.00,863.71,63.67,1.00
Netflix,THB 866.12 - THB 869.30,1.00,867.65,0.06,1.00,867.65,63.69,1.00
Netflix,THB 869.30 - THB 872.49,2.00,873.93,0.13,2.00,873.93,63.88,1.00
Netflix,THB 875.67 - THB 878.86,1.00,880.67,0.06,1.00,880.67,63.89,1.00
Netflix,THB 878.86 - THB 882.04,2.00,879.48,0.54,2.00,879.48,271.75,1.00
Netflix,THB 882.04 - THB 885.23,2.00,887.20,0.13,2.00,887.20,63.88,1.00
Netflix,THB 888.41 - THB 891.59,5.00,891.55,0.83,5.00,891.55,166.12,1.00
Netflix,THB 891.59 - THB 894.78,3.00,894.06,0.19,3.00,894.06,63.69,1.00
Netflix,THB 894.78 - THB 897.96,1.00,899.74,0.06,1.00,899.74,63.89,1.00
Netflix,THB 897.96 - THB 901.15,1.00,901.04,0.00,1.00,901.04,0.00,1.00
Netflix,THB 901.15 - THB 904.33,1.00,902.22,0.06,1.00,902.22,63.69,1.00
Netflix,THB 904.33 - THB 907.52,6.00,906.85,0.32,6.00,906.85,53.14,1.00
Netflix,THB 910.70 - THB 913.88,4.00,913.58,0.25,4.00,913.58,63.69,1.00
Netflix,THB 920.25 - THB 923.44,4.00,921.80,1.22,4.00,921.80,304.67,1.00
Netflix,THB 923.44 - THB 926.62,1.00,923.15,0.06,1.00,923.15,63.63,1.00
Netflix,THB 926.62 - THB 929.81,1.00,927.32,0.06,1.00,927.32,63.69,1.00
Netflix,THB 929.81 - THB 932.99,2.00,930.71,0.13,2.00,930.71,63.66,1.00
Netflix,THB 932.99 - THB 936.17,2.00,938.98,0.13,2.00,938.98,63.90,1.00
Netflix,THB 936.17 - THB 939.36,2.00,936.97,0.13,2.00,936.97,63.69,1.00
Netflix,THB 945.73 - THB 948.91,1.00,948.64,0.06,1.00,948.64,63.69,1.00
Netflix,THB 948.91 - THB 952.10,3.00,950.29,0.19,3.00,950.29,63.69,1.00
Netflix,THB 952.10 - THB 955.28,3.00,955.18,0.19,3.00,955.18,63.69,1.00
Netflix,THB 955.28 - THB 958.46,3.00,956.43,0.19,3.00,956.43,63.69,1.00
Netflix,THB 958.46 - THB 961.65,1.00,959.99,0.06,1.00,959.99,63.69,1.00
Netflix,THB 961.65 - THB 964.83,1.00,963.80,0.06,1.00,963.80,63.69,1.00
Netflix,THB 980.75 - THB 983.94,1.00,982.93,0.06,1.00,982.93,63.63,1.00
Netflix,THB 983.94 - THB 987.12,1.00,986.91,0.06,1.00,986.91,63.88,1.00
Netflix,THB 987.12 - THB 990.31,1.00,992.12,0.06,1.00,992.12,63.88,1.00
Netflix,THB 990.31 - THB 993.49,1.00,993.43,0.06,1.00,993.43,63.88,1.00
Netflix,"THB 1,003.04 - THB 1,006.23",1.00,1004.57,0.06,1.00,1004.57,63.69,1.00
Netflix,"THB 1,006.23 - THB 1,009.41",1.00,1009.32,0.06,1.00,1009.32,63.69,1.00
Netflix,"THB 1,009.41 - THB 1,012.60",1.00,1011.93,0.06,1.00,1011.93,63.69,1.00
Netflix,"THB 1,012.60 - THB 1,015.78",1.00,1015.18,0.06,1.00,1015.18,63.72,1.00
Netflix,"THB 1,015.78 - THB 1,018.97",2.00,1017.74,0.06,1.00,1016.94,63.63,0.50
Netflix,"THB 1,018.97 - THB 1,022.15",1.00,1021.58,0.06,1.00,1021.58,63.69,1.00
Netflix,"THB 1,025.33 - THB 1,028.52",1.00,1028.49,0.06,1.00,1028.49,63.88,1.00
Netflix,"THB 1,031.70 - THB 1,034.89",1.00,1037.02,0.06,1.00,1037.02,63.88,1.00
Netflix,"THB 1,038.07 - THB 1,041.26",2.00,1042.49,0.13,2.00,1042.49,63.78,1.00
Netflix,"THB 1,041.26 - THB 1,044.44",1.00,1044.49,0.06,1.00,1044.49,63.72,1.00
Netflix,"THB 1,044.44 - THB 1,047.62",4.00,1045.24,0.19,4.00,1045.24,47.76,1.00
Netflix,"THB 1,047.62 - THB 1,050.81",1.00,1052.78,0.06,1.00,1052.78,63.90,1.00
Netflix,"THB 1,050.81 - THB 1,053.99",2.00,1051.12,0.13,2.00,1051.12,66.74,1.00
Netflix,"THB 1,053.99 - THB 1,057.18",2.00,1056.75,0.13,2.00,1056.75,63.78,1.00
Netflix,"THB 1,057.18 - THB 1,060.36",3.00,1062.76,0.19,3.00,1062.76,63.88,1.00
Netflix,"THB 1,063.54 - THB 1,066.73",2.00,1066.05,0.13,2.00,1066.05,63.69,1.00
Netflix,"THB 1,066.73 - THB 1,069.91",3.00,1068.31,0.19,3.00,1068.31,63.69,1.00
Netflix,"THB 1,069.91 - THB 1,073.10",2.00,1073.32,0.41,2.00,1073.32,206.41,1.00
Netflix,"THB 1,073.10 - THB 1,076.28",1.00,1075.49,0.06,1.00,1075.49,63.69,1.00
Netflix,"THB 1,076.28 - THB 1,079.47",1.00,1076.47,0.06,1.00,1076.47,63.69,1.00
Netflix,"THB 1,079.47 - THB 1,082.65",1.00,1081.62,0.06,1.00,1081.62,63.69,1.00
Netflix,"THB 1,085.83 - THB 1,089.02",2.00,1088.46,0.13,2.00,1088.46,63.79,1.00
Netflix,"THB 1,095.39 - THB 1,098.57",1.00,1101.82,0.06,1.00,1101.82,63.88,1.00
Netflix,"THB 1,098.57 - THB 1,101.76",1.00,1100.03,0.06,1.00,1100.03,63.69,1.00
Netflix,"THB 1,101.76 - THB 1,104.94",1.00,1103.40,0.06,1.00,1103.40,63.69,1.00
Netflix,"THB 1,104.94 - THB 1,108.12",2.00,1106.75,0.06,2.00,1106.75,31.84,1.00
Netflix,"THB 1,117.68 - THB 1,120.86",2.00,1121.23,0.34,2.00,1121.23,168.13,1.00
Netflix,"THB 1,127.23 - THB 1,130.41",1.00,1133.44,0.06,1.00,1133.44,63.88,1.00
Netflix,"THB 1,130.41 - THB 1,133.60",1.00,1132.77,0.06,1.00,1132.77,63.69,1.00
Netflix,"THB 1,133.60 - THB 1,136.78",1.00,1136.24,0.06,1.00,1136.24,63.69,1.00
Netflix,"THB 1,136.78 - THB 1,139.97",3.00,1138.39,0.19,3.00,1138.39,63.69,1.00
Netflix,"THB 1,143.15 - THB 1,146.34",1.00,1144.51,0.06,1.00,1144.51,63.69,1.00
Netflix,"THB 1,146.34 - THB 1,149.52",1.00,1150.14,0.06,1.00,1150.14,63.88,1.00
Netflix,"THB 1,149.52 - THB 1,152.70",1.00,1155.51,0.00,0.00,0.00,0.00,0.00
Netflix,"THB 1,152.70 - THB 1,155.89",2.00,1157.71,0.13,2.00,1157.71,63.79,1.00
Netflix,"THB 1,155.89 - THB 1,159.07",1.00,1156.91,0.06,1.00,1156.91,63.69,1.00
Netflix,"THB 1,162.26 - THB 1,165.44",1.00,1163.55,0.00,1.00,1163.55,0.00,1.00
Netflix,"THB 1,168.63 - THB 1,171.81",1.00,1173.28,0.06,1.00,1173.28,63.89,1.00
Netflix,"THB 1,174.99 - THB 1,178.18",1.00,1181.43,0.06,1.00,1181.43,63.89,1.00
Netflix,"THB 1,194.10 - THB 1,197.28",1.00,1199.86,0.06,1.00,1199.86,63.89,1.00
Netflix,"THB 1,203.65 - THB 1,206.84",1.00,1204.06,0.06,1.00,1204.06,63.69,1.00
Netflix,"THB 1,216.39 - THB 1,219.57",2.00,1218.87,0.13,2.00,1218.87,63.69,1.00
Netflix,"THB 1,219.57 - THB 1,222.76",1.00,1220.56,0.06,1.00,1220.56,63.69,1.00
Netflix,"THB 1,225.94 - THB 1,229.13",3.00,1228.48,0.06,1.00,1228.39,63.69,0.33
Netflix,"THB 1,229.13 - THB 1,232.31",2.00,1229.89,0.13,2.00,1229.89,63.69,1.00
Netflix,"THB 1,235.50 - THB 1,238.68",1.00,1238.58,0.06,1.00,1238.58,63.69,1.00
Netflix,"THB 1,238.68 - THB 1,241.86",1.00,1244.11,0.06,1.00,1244.11,63.89,1.00
Netflix,"THB 1,245.05 - THB 1,248.23",1.00,1246.95,0.06,1.00,1246.95,63.69,1.00
Netflix,"THB 1,248.23 - THB 1,251.42",1.00,1250.55,0.06,1.00,1250.55,63.69,1.00
Netflix,"THB 1,254.60 - THB 1,257.79",1.00,1257.43,0.06,1.00,1257.43,63.69,1.00
Netflix,"THB 1,257.79 - THB 1,260.97",2.00,1263.05,0.13,2.00,1263.05,63.81,1.00
Netflix,"THB 1,264.15 - THB 1,267.34",1.00,1271.10,0.06,1.00,1271.10,63.89,1.00
Netflix,"THB 1,270.52 - THB 1,273.71",2.00,1275.05,0.13,2.00,1275.05,63.88,1.00
Netflix,"THB 1,283.26 - THB 1,286.44",1.00,1284.44,0.27,1.00,1284.44,271.78,1.00
Netflix,"THB 1,289.63 - THB 1,292.81",1.00,1290.33,0.06,1.00,1290.33,63.69,1.00
Netflix,"THB 1,292.81 - THB 1,296.00",2.00,1295.35,0.13,2.00,1295.35,63.69,1.00
Netflix,"THB 1,296.00 - THB 1,299.18",1.00,1303.04,0.06,1.00,1303.04,63.89,1.00
Netflix,"THB 1,305.55 - THB 1,308.73",1.00,1306.57,0.06,1.00,1306.57,63.69,1.00
Netflix,"THB 1,321.47 - THB 1,324.65",1.00,1323.98,0.06,1.00,1323.98,63.69,1.00
Netflix,"THB 1,324.65 - THB 1,327.84",1.00,1325.16,0.06,1.00,1325.16,63.69,1.00
Netflix,"THB 1,327.84 - THB 1,331.02",2.00,1331.13,0.06,2.00,1331.13,31.94,1.00
Netflix,"THB 1,331.02 - THB 1,334.21",3.00,1332.50,0.13,3.00,1332.50,42.46,1.00
Netflix,"THB 1,337.39 - THB 1,340.58",1.00,1340.00,0.06,1.00,1340.00,63.69,1.00
Netflix,"THB 1,346.94 - THB 1,350.13",1.00,1353.20,0.06,1.00,1353.20,63.89,1.00
Netflix,"THB 1,353.31 - THB 1,356.50",1.00,1354.42,0.06,1.00,1354.42,63.69,1.00
Netflix,"THB 1,356.50 - THB 1,359.68",1.00,1359.42,0.83,1.00,1359.42,830.98,1.00
Netflix,"THB 1,362.87 - THB 1,366.05",1.00,1365.95,0.06,1.00,1365.95,63.69,1.00
Netflix,"THB 1,369.23 - THB 1,372.42",1.00,1373.80,0.06,1.00,1373.80,63.88,1.00
Netflix,"THB 1,385.16 - THB 1,388.34",1.00,1385.44,0.00,1.00,1385.44,0.00,1.00
Netflix,"THB 1,391.52 - THB 1,394.71",2.00,1392.60,0.20,2.00,1392.60,99.48,1.00
Netflix,"THB 1,394.71 - THB 1,397.89",2.00,1396.82,0.13,2.00,1396.82,63.69,1.00
Netflix,"THB 1,404.26 - THB 1,407.45",2.00,1406.25,0.13,2.00,1406.25,63.69,1.00
Netflix,"THB 1,407.45 - THB 1,410.63",1.00,1408.62,0.06,1.00,1408.62,63.69,1.00
Netflix,"THB 1,417.00 - THB 1,420.18",1.00,1419.73,0.06,1.00,1419.73,63.69,1.00
Netflix,"THB 1,432.92 - THB 1,436.10",1.00,1434.23,0.06,1.00,1434.23,63.69,1.00
Netflix,"THB 1,445.66 - THB 1,448.84",1.00,1448.36,0.06,1.00,1448.36,63.69,1.00
Netflix,"THB 1,461.58 - THB 1,464.76",1.00,1463.07,0.06,1.00,1463.07,63.63,1.00
Netflix,"THB 1,474.32 - THB 1,477.50",1.00,1479.42,0.06,1.00,1479.42,63.88,1.00
Netflix,"THB 1,483.87 - THB 1,487.05",3.00,1485.37,0.78,3.00,1485.37,260.78,1.00
Netflix,"THB 1,493.42 - THB 1,496.61",1.00,1495.87,0.06,1.00,1495.87,63.69,1.00
Netflix,"THB 1,528.45 - THB 1,531.63",1.00,1531.31,0.06,1.00,1531.31,64.20,1.00
Netflix,"THB 1,544.37 - THB 1,547.55",1.00,1545.77,0.83,1.00,1545.77,834.31,1.00
Netflix,"THB 1,557.11 - THB 1,560.29",1.00,1560.00,0.34,1.00,1560.00,337.21,1.00
Netflix,"THB 1,566.66 - THB 1,569.84",1.00,1566.75,0.06,1.00,1566.75,63.69,1.00
Netflix,"THB 1,576.21 - THB 1,579.40",1.00,1578.28,0.06,1.00,1578.28,63.69,1.00
Netflix,"THB 1,592.13 - THB 1,595.32",124.00,2309.51,14.82,123.00,2314.48,120.50,0.99
Nike,THB 0.00 - THB 3.18,1.00,2.33,0.00,0.00,0.00,0.00,0.00
Nike,THB 3.18 - THB 6.37,2.00,4.60,0.00,0.00,0.00,0.00,0.00
Nike,THB 6.37 - THB 9.55,1.00,8.12,0.00,0.00,0.00,0.00,0.00
Nike,THB 9.55 - THB 12.74,7.00,11.85,0.00,0.00,0.00,0.00,0.00
Nike,THB 12.74 - THB 15.92,6.00,14.79,0.00,0.00,0.00,0.00,0.00
Nike,THB 15.92 - THB 19.11,4.00,16.99,0.00,0.00,0.00,0.00,0.00
Northshore University Health System,THB 79.61 - THB 82.79,2.00,80.11,0.13,2.00,80.11,63.89,1.00
ONYX Hospitality Group,THB 82.79 - THB 85.98,1356.00,85.48,65.57,1061.00,85.48,61.80,0.78
ONYX Hospitality Group,THB 92.34 - THB 95.53,1.00,93.14,0.06,1.00,93.14,64.20,1.00
ONYX Hospitality Group,THB 98.71 - THB 101.90,104.00,101.01,4.50,72.00,101.01,62.55,0.69
ONYX Hospitality Group,THB 108.27 - THB 111.45,1.00,109.79,0.06,1.00,109.79,64.40,1.00
ONYX Hospitality Group,THB 114.63 - THB 117.82,2.00,114.82,0.13,2.00,114.82,63.79,1.00
ONYX Hospitality Group,THB 124.19 - THB 127.37,114.00,124.38,6.55,102.00,124.39,64.22,0.89
ONYX Hospitality Group,THB 127.37 - THB 130.55,4.00,128.82,0.13,4.00,128.82,31.84,1.00
ONYX Hospitality Group,THB 133.74 - THB 136.92,2.00,136.63,0.13,2.00,136.63,63.89,1.00
ONYX Hospitality Group,THB 136.92 - THB 140.11,59.00,139.81,3.26,51.00,139.83,63.98,0.86
ONYX Hospitality Group,THB 140.11 - THB 143.29,4.00,141.40,0.13,2.00,142.25,63.89,0.50
ONYX Hospitality Group,THB 149.66 - THB 152.84,5.00,152.59,0.26,4.00,152.60,63.98,0.80
ONYX Hospitality Group,THB 162.40 - THB 165.58,92.00,165.72,5.11,83.00,165.72,61.59,0.90
ONYX Hospitality Group,THB 181.50 - THB 184.69,2.00,183.19,0.06,1.00,183.76,63.72,0.50
ONYX Hospitality Group,THB 187.87 - THB 191.06,148.00,189.36,4.98,135.00,189.36,36.87,0.91
ONYX Hospitality Group,THB 226.08 - THB 229.27,159.00,226.34,7.34,114.00,226.32,64.41,0.72
ONYX Hospitality Group,THB 299.32 - THB 302.51,38.00,301.60,1.62,24.00,301.55,67.64,0.63
ONYX Hospitality Group,THB 318.43 - THB 321.61,1.00,318.58,0.00,1.00,318.58,0.00,1.00
ONYX Hospitality Group,THB 448.98 - THB 452.17,2.00,452.02,0.07,2.00,452.02,35.15,1.00
ONYX Hospitality Group,THB 452.17 - THB 455.35,7.00,455.13,0.37,6.00,455.25,61.51,0.86
ONYX Hospitality Group,THB 455.35 - THB 458.53,1.00,456.06,0.09,1.00,456.06,87.25,1.00
ONYX Hospitality Group,THB 710.09 - THB 713.28,128.00,712.15,15.84,124.00,712.17,127.74,0.97
PayPal,THB 0.00 - THB 3.18,68679.00,1.49,0.00,0.00,0.00,0.00,0.00
PayPal,THB 3.18 - THB 6.37,3673.00,4.43,0.00,0.00,0.00,0.00,0.00
PayPal,THB 6.37 - THB 9.55,2395.00,7.58,0.00,0.00,0.00,0.00,0.00
PayPal,THB 9.55 - THB 12.74,251.00,10.43,0.00,0.00,0.00,0.00,0.00
PayPal,THB 12.74 - THB 15.92,28.00,14.46,0.00,0.00,0.00,0.00,0.00
PayPal,THB 15.92 - THB 19.11,19.00,17.63,0.00,0.00,0.00,0.00,0.00
PayPal,THB 19.11 - THB 22.29,14.00,20.31,0.00,0.00,0.00,0.00,0.00
PayPal,THB 22.29 - THB 25.47,13.00,23.63,0.00,0.00,0.00,0.00,0.00
PayPal,THB 25.47 - THB 28.66,8.00,26.66,0.00,0.00,0.00,0.00,0.00
PayPal,THB 28.66 - THB 31.84,9.00,29.88,0.00,0.00,0.00,0.00,0.00
PayPal,THB 31.84 - THB 35.03,14.00,33.77,0.00,0.00,0.00,0.00,0.00
PayPal,THB 35.03 - THB 38.21,11.00,36.13,0.00,0.00,0.00,0.00,0.00
PayPal,THB 38.21 - THB 41.40,12.00,40.33,0.00,0.00,0.00,0.00,0.00
PayPal,THB 41.40 - THB 44.58,4.00,43.03,0.00,0.00,0.00,0.00,0.00
PayPal,THB 47.76 - THB 50.95,2.00,48.42,0.00,0.00,0.00,0.00,0.00
PayPal,THB 50.95 - THB 54.13,2.00,52.16,0.00,0.00,0.00,0.00,0.00
Qantas Group,THB 79.61 - THB 82.79,22.00,81.51,1.15,20.00,81.50,57.39,0.91
Qantas Group,THB 82.79 - THB 85.98,30.00,84.43,1.72,30.00,84.43,57.46,1.00
Qantas Group,THB 85.98 - THB 89.16,38.00,87.61,2.17,36.00,87.58,60.25,0.95
Qantas Group,THB 89.16 - THB 92.34,22.00,90.71,1.34,21.00,90.75,63.99,0.95
Qantas Group,THB 92.34 - THB 95.53,32.00,94.31,1.66,26.00,94.32,63.76,0.81
Qantas Group,THB 95.53 - THB 98.71,30.00,97.26,1.66,27.00,97.33,61.38,0.90
Qantas Group,THB 98.71 - THB 101.90,24.00,100.42,1.50,24.00,100.42,62.30,1.00
Qantas Group,THB 101.90 - THB 105.08,28.00,103.51,1.61,25.00,103.50,64.32,0.89
Qantas Group,THB 105.08 - THB 108.27,28.00,106.64,1.68,28.00,106.64,60.01,1.00
Qantas Group,THB 108.27 - THB 111.45,22.00,109.91,1.17,20.00,109.93,58.59,0.91
Qantas Group,THB 111.45 - THB 114.63,23.00,113.29,1.48,23.00,113.29,64.31,1.00
Qantas Group,THB 114.63 - THB 117.82,23.00,116.16,1.33,21.00,116.15,63.16,0.91
Qantas Group,THB 117.82 - THB 121.00,19.00,119.48,1.08,17.00,119.55,63.79,0.89
Qantas Group,THB 121.00 - THB 124.19,32.00,122.68,1.80,31.00,122.69,57.92,0.97
Qantas Group,THB 124.19 - THB 127.37,37.00,125.67,1.67,32.00,125.63,52.18,0.86
Qantas Group,THB 127.37 - THB 130.55,32.00,129.21,1.94,31.00,129.26,62.53,0.97
Qantas Group,THB 130.55 - THB 133.74,26.00,132.25,1.76,25.00,132.21,70.31,0.96
Qantas Group,THB 133.74 - THB 136.92,19.00,135.04,1.20,19.00,135.04,63.31,1.00
Qantas Group,THB 136.92 - THB 140.11,16.00,138.43,1.02,16.00,138.43,63.76,1.00
Qantas Group,THB 140.11 - THB 143.29,28.00,141.62,1.84,27.00,141.61,67.97,0.96
Qantas Group,THB 143.29 - THB 146.48,16.00,144.92,1.06,16.00,144.92,66.02,1.00
Qantas Group,THB 146.48 - THB 149.66,17.00,148.22,1.17,17.00,148.22,68.82,1.00
Qantas Group,THB 149.66 - THB 152.84,20.00,151.19,1.39,20.00,151.19,69.73,1.00
Qantas Group,THB 152.84 - THB 156.03,20.00,154.36,1.30,19.00,154.36,68.55,0.95
Qantas Group,THB 156.03 - THB 159.21,18.00,157.62,1.16,17.00,157.66,68.00,0.94
Qantas Group,THB 159.21 - THB 162.40,19.00,161.18,1.22,19.00,161.18,64.19,1.00
Qantas Group,THB 162.40 - THB 165.58,18.00,164.01,1.07,16.00,164.03,66.90,0.89
Qantas Group,THB 165.58 - THB 168.77,14.00,167.29,1.02,14.00,167.29,72.58,1.00
Qantas Group,THB 168.77 - THB 171.95,18.00,170.55,1.12,16.00,170.47,70.14,0.89
Qantas Group,THB 171.95 - THB 175.13,17.00,173.82,1.14,16.00,173.87,71.37,0.94
Qantas Group,THB 175.13 - THB 178.32,18.00,176.95,1.17,18.00,176.95,65.03,1.00
Qantas Group,THB 178.32 - THB 181.50,15.00,179.82,0.91,14.00,179.90,64.92,0.93
Qantas Group,THB 181.50 - THB 184.69,19.00,183.53,1.34,18.00,183.58,74.60,0.95
Qantas Group,THB 184.69 - THB 187.87,17.00,186.58,1.16,17.00,186.58,68.00,1.00
Qantas Group,THB 187.87 - THB 191.06,9.00,189.86,0.64,9.00,189.86,71.52,1.00
Qantas Group,THB 191.06 - THB 194.24,10.00,193.39,0.64,10.00,193.39,63.89,1.00
Qantas Group,THB 194.24 - THB 197.42,21.00,195.80,1.48,21.00,195.80,70.54,1.00
Qantas Group,THB 197.42 - THB 200.61,17.00,199.08,1.25,17.00,199.08,73.53,1.00
Qantas Group,THB 200.61 - THB 203.79,13.00,202.33,0.76,12.00,202.28,63.69,0.92
Qantas Group,THB 203.79 - THB 206.98,10.00,205.97,0.61,9.00,206.02,67.88,0.90
Qantas Group,THB 206.98 - THB 210.16,7.00,208.81,0.38,7.00,208.81,54.72,1.00
Qantas Group,THB 210.16 - THB 213.35,7.00,212.23,0.46,7.00,212.23,65.01,1.00
Qantas Group,THB 213.35 - THB 216.53,10.00,214.89,0.66,9.00,214.71,73.61,0.90
Qantas Group,THB 216.53 - THB 219.71,12.00,218.32,0.71,11.00,218.21,64.27,0.92
Qantas Group,THB 219.71 - THB 222.90,11.00,221.65,0.57,10.00,221.63,57.43,0.91
Qantas Group,THB 222.90 - THB 226.08,8.00,224.66,0.56,8.00,224.66,70.09,1.00
Qantas Group,THB 226.08 - THB 229.27,9.00,227.88,0.59,9.00,227.88,65.25,1.00
Qantas Group,THB 229.27 - THB 232.45,8.00,231.11,0.51,8.00,231.11,64.27,1.00
Qantas Group,THB 232.45 - THB 235.64,13.00,233.83,0.88,13.00,233.83,67.49,1.00
Qantas Group,THB 235.64 - THB 238.82,9.00,238.05,0.55,8.00,238.10,68.66,0.89
Qantas Group,THB 238.82 - THB 242.00,12.00,240.73,0.74,12.00,240.73,61.38,1.00
Qantas Group,THB 242.00 - THB 245.19,7.00,243.72,0.46,7.00,243.72,66.39,1.00
Qantas Group,THB 245.19 - THB 248.37,8.00,247.36,0.52,8.00,247.36,64.45,1.00
Qantas Group,THB 248.37 - THB 251.56,7.00,250.31,0.46,7.00,250.31,65.44,1.00
Qantas Group,THB 251.56 - THB 254.74,3.00,253.99,0.13,3.00,253.99,42.47,1.00
Qantas Group,THB 254.74 - THB 257.93,9.00,256.47,0.54,9.00,256.47,59.86,1.00
Qantas Group,THB 257.93 - THB 261.11,11.00,260.12,0.64,11.00,260.12,58.57,1.00
Qantas Group,THB 261.11 - THB 264.29,6.00,262.77,0.35,6.00,262.77,58.11,1.00
Qantas Group,THB 264.29 - THB 267.48,11.00,266.77,0.63,9.00,266.73,69.66,0.82
Qantas Group,THB 267.48 - THB 270.66,6.00,269.02,0.39,6.00,269.02,64.34,1.00
Qantas Group,THB 270.66 - THB 273.85,8.00,272.18,0.57,8.00,272.18,71.21,1.00
Qantas Group,THB 273.85 - THB 277.03,4.00,275.90,0.27,3.00,275.81,90.48,0.75
Qantas Group,THB 277.03 - THB 280.22,9.00,279.47,0.74,9.00,279.47,82.64,1.00
